model.family,model.size,model.device,model.task_type,model.format,model.quantization,status,error,performance.fps,performance.mean_ms,performance.p50_ms,performance.p95_ms,performance.p99_ms,performance.min_ms,performance.max_ms,cpu.cpu_power,cpu.cpu_utilization.unit,cpu.cpu_utilization.samples,cpu.cpu_utilization.mean,cpu.cpu_utilization.p50,cpu.cpu_utilization.p95,cpu.cpu_utilization.p99,cpu.cpu_utilization.min,cpu.cpu_utilization.max,cpu.cpu_temperature.unit,cpu.cpu_temperature.samples,cpu.cpu_temperature.mean,cpu.cpu_temperature.p50,cpu.cpu_temperature.p95,cpu.cpu_temperature.p99,cpu.cpu_temperature.min,cpu.cpu_temperature.max,gpu.vram_usage,gpu.gpu_power,gpu.gpu_utilization,gpu.gpu_temperature,quality,performance,cpu,gpu
yolov8,n,cpu,segment,onnx,fp32,success,,2.787815365701206,358.70381241997165,346.63346799970896,392.2737339999003,399.08293900043645,338.03124300175114,401.09662499889964,,percent,347,99.99308357348703,100.0,100.0,100.0,97.6,100.0,celsius,348,60.4229885057473,60.6,61.7,61.7,57.85,62.25,,,,,,,,
yolov8,n,cpu,segment,openvino,fp32,success,,3.144493477706557,318.0162423899674,315.90381400019396,338.21600299961574,342.48115199989115,304.6004419993551,342.5945229992067,,percent,302,96.51357615894034,97.6,100.0,100.0,85.0,100.0,celsius,303,58.8102310231024,58.95,59.5,60.05,56.75,60.6,,,,,,,,
yolov8,n,cpu,segment,openvino,fp16,success,,3.315140729137834,301.6463196300174,296.43001400108915,323.04085200121335,328.0132239997329,290.59840199988685,331.9160949995421,,percent,290,96.78896551724135,97.6,100.0,100.0,85.4,100.0,celsius,291,59.288316151202764,59.5,60.05,60.05,57.3,60.6,,,,,,,,
yolov8,s,cpu,segment,pytorch,fp32,success,,0.4799936712542632,2083.36080220999,2102.0479389990214,2141.158593,2148.739427999317,2005.1194589996157,2199.2469369997707,,percent,2038,45.46030421982339,43.9,67.4,78.0,24.4,86.0,celsius,2038,56.07990677134407,56.2,57.3,57.85,53.45,58.95,,,,,,,,
yolov8,s,cpu,segment,onnx,fp32,success,,1.1327668053707223,882.7942302500014,889.621468999394,908.2873799998197,911.5616960007173,837.2182750008506,969.1551309988427,,percent,851,99.824794359577,100.0,100.0,100.0,47.2,100.0,celsius,851,65.11762632197434,65.0,66.65,66.65,62.25,67.2,,,,,,,,
yolov8,s,cpu,segment,openvino,fp32,success,,1.1989164386442883,834.0864865701406,838.8084420002997,851.1032960013836,857.4537040003634,800.3594540004997,858.3083339999575,,percent,787,96.20508259212178,97.6,100.0,100.0,80.5,100.0,celsius,787,61.520393900889445,61.7,62.25,62.8,59.5,62.8,,,,,,,,
yolov8,s,cpu,segment,openvino,fp16,success,,1.4780526319659666,676.5658937800436,675.1796540011128,703.2898439993005,707.194807999258,648.0636680007592,707.8576230014733,,percent,644,96.30652173913013,97.6,100.0,100.0,78.7,100.0,celsius,645,62.53821705426365,62.8,63.35,63.35,60.6,63.9,,,,,,,,
yolo11,n,cpu,segment,pytorch,fp32,success,,1.3191598836546976,758.0582250799853,758.873353999661,776.6476899996633,781.7105989997799,724.0297190001002,781.7814509999153,,percent,739,55.012178619756455,53.8,69.0,75.6,37.5,82.0,celsius,739,57.820974289580334,57.85,58.95,58.95,56.2,59.5,,,,,,,,
yolo11,n,cpu,segment,onnx,fp32,success,,2.7189489006253895,367.78918491994773,370.380231001036,392.058752999219,405.466329999399,347.5202640001953,420.8197770003608,,percent,355,99.81521126760563,100.0,100.0,100.0,51.4,100.0,celsius,355,63.602535211267806,63.9,64.45,65.0,61.7,65.55,,,,,,,,
yolo11,n,cpu,segment,openvino,fp32,success,,3.9771204221123777,251.43819997003447,245.53687600018748,269.112583999231,280.6662900002266,240.4840970011719,282.4015300011524,,percent,243,95.80452674897117,97.5,100.0,100.0,84.8,100.0,celsius,243,62.754732510287994,62.8,63.9,64.45,60.05,64.45,,,,,,,,
